"","layer.1","layer.2","layer.3","layer.4","layer.5"
"1",23.6845151919598,43.3396337847313,38.0339971227739,34.7436247248264,29.1852031051887
"2",23.5495784415529,39.7174163178606,37.4084358479278,27.5598784546263,21.0888915441941
"3",23.6293945136129,44.0394620066913,37.116372749126,34.6295480667231,27.8068006174688
"4",23.563422613351,42.9820511826798,35.2964416430763,37.7604635205111,42.5782367606055
"5",23.5518277625047,42.2050695179772,37.8419109555329,31.7940292144621,23.654844513512
"6",23.5721295119726,40.5104225073066,37.2175055341774,30.6865418155589,28.9527717543338
"7",23.6744861495091,42.0319597819591,38.3748434770541,29.3284959184205,25.5150017231561
"8",23.4660986810985,38.635377173138,37.1345810187771,36.6210729775872,35.3713864898487
"9",23.4630977642793,38.7797196014738,36.4848900780408,28.4705301210114,27.7211766756459
"10",23.4568392188624,42.1464360584518,33.8873096694641,30.1696073271925,30.635557279975
"11",23.6363659179385,37.4490215687076,32.9336780057034,24.4683139741433,26.3126573192
"12",23.6540157563816,43.1053617169924,38.2237838412061,32.2836750936489,27.3984704625175
"13",23.5488563396529,42.9393703915125,38.2186528136094,35.0378616419763,25.1453148295015
"14",23.6682611991085,45.5429874766813,38.673768043405,42.9485987205781,38.4384673359296
"15",23.5079149813451,42.0964060561337,34.0695313537974,35.9220162783682,44.1075560096554
"16",23.5318056636132,41.2403807484541,37.411095934901,31.114437387355,28.712452869151
